,Week,Player,Status,Proj,Fantasy: Full Game,position,team_abbr,game_half,Passing_Yards,Pass_TDs,Interceptions,two_point_conversions_pass,Receiving_Yards,receiving_touchdown,receptions,two_point_conversions_rec,Rushing_Yards,Rushing_TDs,two_point_conversions,Fumbles,Fantasy: First Half,Fantasy: Second Half,Team_Rushing_Yards,Team_Rushing_TDs,Team_Passing_Yards,Team_Passing_TDs,Team_Interceptions,Team_Fumbles,Team_Receiving_Yards,Team_Completions,Team_Receiving_TDs,cum_avg_targets,cum_avg_receptions,cum_avg_carries,cum_avg_target_share,cum_avg_air_yards_share,cum_avg_interceptions,cum_avg_passing_yards_after_catch,cum_avg_completions,cum_avg_pacr,cum_avg_racr,cum_avg_rushing_yards,cum_avg_rushing_fumbles,cum_avg_wopr,team_cum_avg_passing_yards,team_cum_avg_passing_tds,team_cum_avg_attempts,team_cum_avg_completions,team_cum_avg_rushing_yards,team_cum_avg_rushing_tds,team_cum_avg_sacks,team_cum_avg_interceptions,team_cum_avg_rushing_fumbles,team_cum_avg_sack_fumbles
629,8.0,Terry McLaurin,ACTIVE,12.1325279195,16.6,WR,WAS,Half1,0.0,0.0,0.0,0.0,42.0,0.0,1.0,0.0,-7.0,0.0,0.0,0.0,4.5,12.100000000000001,62.0,0.0,108.0,1.0,0.0,0.0,108.0,8.0,1.0,9.0,4.333333333333333,1.0,0.17680644989013672,0.3017049729824066,0.0,0.0,0.0,0.0,0.9022197127342224,9.0,1.0,0.4764031767845154,241.42857360839844,2.0,39.0,25.5,105.57142639160156,1.0,3.4285714626312256,1.399999976158142,1.3333333730697632,1.0
630,8.0,Rhamondre Stevenson,ACTIVE,14.561829447,21.3,RB,NE,Half1,0.0,0.0,0.0,0.0,59.0,0.0,5.0,0.0,21.0,0.0,0.0,0.0,13.0,8.3,60.0,0.0,122.0,0.0,1.0,0.0,122.0,13.0,0.0,5.0,1.0,16.0,0.1534261256456375,-0.010116350837051868,0.0,0.0,0.0,0.0,2.876190423965454,69.57142639160156,0.0,0.22305774688720703,231.0,1.0,25.666666666666668,18.2,122.57142639160156,1.8,2.4000000953674316,1.7999999523162842,1.0,1.0
631,8.0,Damien Harris,ACTIVE,8.493343434,7.2,RB,NE,Half1,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,3.1000000000000005,4.1,60.0,0.0,122.0,0.0,1.0,0.0,122.0,13.0,0.0,2.0,1.0,9.5,0.07027019560337067,-0.002483382821083069,0.0,0.0,0.0,0.0,1.119444489479065,44.16666793823242,0.0,0.10366692394018173,231.0,1.0,25.666666666666668,18.2,122.57142639160156,1.8,2.4000000953674316,1.7999999523162842,1.0,1.0
632,8.0,Joe Burrow,ACTIVE,21.626150568,13.48,QB,CIN,Half1,103.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1200000000000001,13.36,19.0,0.0,103.0,0.0,1.0,1.0,103.0,15.0,0.0,0.0,0.0,4.0,0.0,0.0,2.5,154.57142639160156,28.0,1.187965989112854,0.0,21.66666603088379,0.0,0.0,302.8571472167969,2.2,41.666666666666664,25.666666666666668,87.42857360839844,1.0,3.5714285373687744,2.5,0.0,1.0
633,8.0,Tyler Boyd,QUESTIONABLE,11.802054369,12.8,WR,CIN,Half1,0.0,0.0,0.0,0.0,25.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.5,8.3,19.0,0.0,103.0,0.0,1.0,1.0,103.0,15.0,0.0,6.5,3.0,0.0,0.1409892737865448,0.17984962463378906,0.0,2.0,1.0,1.0952380895614624,1.8016492128372192,0.0,0.0,0.3373786509037018,302.8571472167969,2.2,41.666666666666664,25.666666666666668,87.42857360839844,1.0,3.5714285373687744,2.5,0.0,1.0
634,8.0,Joe Mixon,ACTIVE,18.322216012,12.899999999999999,RB,CIN,Half1,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,12.0,0.0,0.0,0.0,5.7,7.199999999999998,19.0,0.0,103.0,0.0,1.0,1.0,103.0,15.0,0.0,5.5,3.8,21.0,0.13363252580165863,-0.01646737940609455,0.0,0.0,0.0,0.0,4.234022617340088,57.85714340209961,0.0,0.18892158567905426,302.8571472167969,2.2,41.666666666666664,25.666666666666668,87.42857360839844,1.0,3.5714285373687744,2.5,0.0,1.0
635,8.0,Tee Higgins,ACTIVE,17.306332854,13.9,WR,CIN,Half1,0.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.8,11.100000000000001,19.0,0.0,103.0,0.0,1.0,1.0,103.0,15.0,0.0,8.0,5.666666666666667,0.0,0.20356112718582153,0.2805386781692505,0.0,0.0,0.0,0.0,1.0759042501449585,0.0,0.0,0.5017187595367432,302.8571472167969,2.2,41.666666666666664,25.666666666666668,87.42857360839844,1.0,3.5714285373687744,2.5,0.0,1.0
636,8.0,Hayden Hurst,ACTIVE,9.414130519999999,8.2,TE,CIN,Half1,0.0,0.0,0.0,0.0,21.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.1,5.1,19.0,0.0,103.0,0.0,1.0,1.0,103.0,15.0,0.0,5.666666666666667,3.4,0.0,0.1446826010942459,0.11481450498104095,0.0,0.0,0.0,0.0,1.5295460224151611,0.0,0.0,0.2973940372467041,302.8571472167969,2.2,41.666666666666664,25.666666666666668,87.42857360839844,1.0,3.5714285373687744,2.5,0.0,1.0
637,8.0,Pat Freiermuth,QUESTIONABLE,11.27683489,9.7,TE,PIT,Half1,0.0,0.0,0.0,0.0,39.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.9,3.799999999999999,51.0,0.0,99.0,1.0,0.0,1.0,99.0,14.0,1.0,8.333333333333334,6.0,0.0,0.2045869380235672,0.17641693353652954,0.0,0.0,0.0,0.0,1.0007890462875366,0.0,0.0,0.4303722381591797,224.0,1.0,33.0,19.666666666666668,87.85713958740234,0.0,2.142857074737549,2.25,1.0,0.0
638,8.0,Najee Harris,ACTIVE,12.181539470000002,11.959999999999999,RB,PIT,Half1,4.0,0.0,0.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.06,8.899999999999999,51.0,0.0,99.0,1.0,0.0,1.0,99.0,14.0,1.0,3.0,3.5,14.5,0.10334744304418564,0.003410967765375972,0.0,0.0,0.0,0.0,1.744949460029602,47.0,0.0,0.15740883350372314,224.0,1.0,33.0,19.666666666666668,87.85713958740234,0.0,2.142857074737549,2.25,1.0,0.0
